iter	Passed	Remaining
434	1513	1965
435	1516	1962
436	1521	1959
437	1524	1956
438	1527	1952
439	1530	1948
440	1534	1945
441	1537	1941
442	1540	1937
443	1544	1933
444	1547	1930
445	1551	1927
446	1554	1922
447	1557	1919
448	1561	1915
449	1564	1911
450	1568	1909
451	1571	1904
452	1575	1902
453	1579	1899
454	1583	1897
455	1587	1893
456	1591	1891
457	1595	1887
458	1599	1885
459	1602	1881
460	1606	1877
461	1608	1873
462	1611	1869
463	1615	1865
464	1619	1862
465	1622	1858
466	1625	1855
467	1628	1851
468	1633	1849
469	1636	1845
470	1638	1840
471	1641	1836
472	1646	1834
473	1649	1830
474	1653	1827
475	1656	1823
476	1660	1821
477	1665	1818
478	1668	1814
479	1671	1810
480	1676	1808
481	1680	1805
482	1683	1802
483	1686	1798
484	1689	1794
485	1694	1791
486	1697	1787
487	1699	1783
488	1703	1779
489	1707	1777
490	1710	1773
491	1714	1770
492	1717	1766
493	1721	1762
494	1725	1760
495	1728	1756
496	1731	1752
497	1734	1748
498	1738	1745
499	1741	1741
500	1745	1738
501	1748	1734
502	1752	1731
503	1756	1728
504	1759	1724
505	1761	1719
506	1764	1715
507	1767	1711
508	1771	1708
509	1775	1705
510	1778	1701
511	1781	1697
512	1785	1695
513	1788	1691
514	1792	1687
515	1794	1683
516	1798	1680
517	1801	1676
518	1805	1672
519	1807	1668
520	1811	1665
521	1814	1661
522	1818	1658
523	1822	1655
524	1826	1652
525	1828	1648
526	1832	1644
527	1836	1641
528	1839	1638
529	1842	1634
530	1846	1630
531	1850	1627
532	1854	1624
533	1857	1621
534	1860	1617
535	1863	1613
536	1867	1609
537	1871	1607
538	1874	1603
539	1877	1599
540	1880	1595
541	1883	1591
542	1886	1588
543	1890	1584
544	1894	1581
545	1898	1578
546	1901	1574
547	1904	1570
548	1907	1566
549	1910	1562
550	1913	1559
551	1916	1555
552	1919	1551
553	1922	1547
554	1925	1543
555	1929	1540
556	1932	1537
557	1935	1533
558	1938	1529
559	1941	1525
560	1946	1523
561	1949	1519
562	1953	1516
563	1956	1512
564	1960	1509
565	1963	1505
566	1966	1501
567	1969	1497
568	1972	1494
569	1976	1491
570	1979	1487
571	1983	1484
572	1986	1480
573	1990	1476
574	1993	1473
575	1996	1469
576	1999	1465
577	2002	1462
578	2005	1458
579	2009	1454
580	2011	1450
581	2014	1447
582	2018	1443
583	2021	1439
584	2025	1436
585	2028	1432
586	2030	1428
587	2033	1424
588	2036	1421
589	2040	1418
590	2043	1414
591	2046	1410
592	2050	1407
593	2054	1404
594	2058	1400
595	2061	1397
596	2065	1394
597	2068	1390
598	2072	1387
599	2075	1383
600	2078	1379
601	2080	1375
602	2083	1371
603	2087	1368
604	2090	1365
605	2094	1361
606	2097	1357
607	2100	1354
608	2105	1351
609	2108	1348
610	2111	1344
611	2115	1340
612	2118	1337
613	2122	1334
614	2125	1330
615	2128	1326
616	2132	1323
617	2136	1320
618	2141	1318
619	2144	1314
620	2147	1310
621	2151	1307
622	2154	1304
623	2159	1301
624	2163	1298
625	2168	1295
626	2171	1292
627	2175	1288
628	2178	1284
629	2182	1282
630	2186	1278
631	2189	1274
632	2192	1271
633	2196	1268
634	2200	1264
635	2203	1261
636	2207	1257
637	2210	1254
638	2213	1250
639	2216	1246
640	2219	1242
641	2222	1239
642	2225	1235
643	2229	1232
644	2232	1228
645	2235	1225
646	2239	1221
647	2243	1218
648	2246	1215
649	2249	1211
650	2252	1207
651	2255	1204
652	2259	1200
653	2263	1197
654	2266	1193
655	2269	1190
656	2273	1186
657	2276	1183
658	2280	1179
659	2283	1176
660	2285	1172
661	2289	1168
662	2293	1165
663	2297	1162
664	2300	1158
665	2303	1154
666	2305	1151
667	2309	1147
668	2312	1144
669	2315	1140
670	2318	1137
671	2321	1133
672	2325	1129
673	2328	1126
674	2330	1122
675	2333	1118
676	2336	1114
677	2340	1111
678	2342	1107
679	2346	1104
680	2349	1100
681	2352	1096
682	2357	1094
683	2361	1090
684	2364	1087
685	2367	1083
686	2371	1080
687	2375	1077
688	2378	1073
689	2381	1070
690	2385	1066
691	2389	1063
692	2392	1060
693	2396	1056
694	2399	1052
695	2403	1049
696	2405	1045
697	2408	1042
698	2411	1038
699	2414	1034
700	2418	1031
701	2421	1027
702	2424	1024
703	2427	1020
704	2430	1016
705	2434	1013
706	2437	1010
707	2440	1006
708	2443	1002
709	2446	999
710	2450	996
711	2453	992
712	2457	989
713	2459	985
714	2462	981
715	2466	978
716	2469	974
717	2472	971
718	2475	967
719	2478	963
720	2482	960
721	2485	957
722	2488	953
723	2491	949
724	2494	946
725	2497	942
726	2500	939
727	2503	935
728	2506	931
729	2509	928
730	2513	925
731	2516	921
732	2519	917
733	2522	914
734	2526	910
735	2530	907
736	2532	903
737	2535	900
738	2538	896
739	2541	893
740	2545	889
741	2548	886
742	2551	882
743	2554	878
744	2557	875
745	2560	871
746	2563	868
747	2566	864
748	2569	861
749	2573	857
750	2577	854
751	2580	850
752	2583	847
753	2586	844
754	2590	840
755	2593	837
756	2596	833
757	2600	830
758	2603	826
759	2605	822
760	2609	819
761	2612	815
762	2615	812
763	2618	808
764	2621	805
765	2624	801
766	2627	798
767	2630	794
768	2633	791
769	2637	787
770	2640	784
771	2644	780
772	2647	777
773	2650	773
774	2654	770
775	2658	767
776	2661	763
777	2664	760
778	2667	756
779	2671	753
780	2674	749
781	2677	746
782	2680	742
783	2683	739
784	2688	736
785	2691	732
786	2695	729
787	2698	726
788	2702	722
789	2705	719
790	2708	715
791	2711	712
792	2714	708
793	2719	705
794	2722	702
795	2725	698
796	2728	694
797	2731	691
798	2735	688
799	2737	684
800	2741	681
801	2744	677
802	2749	674
803	2752	671
804	2755	667
805	2758	664
806	2762	660
807	2766	657
808	2769	653
809	2772	650
810	2775	646
811	2779	643
812	2782	640
813	2786	636
814	2789	633
815	2792	629
816	2796	626
817	2800	622
818	2803	619
819	2807	616
820	2811	613
821	2815	609
822	2818	606
823	2822	602
824	2825	599
825	2829	596
826	2832	592
827	2836	589
828	2838	585
829	2842	582
830	2845	578
831	2848	575
832	2851	571
833	2854	568
834	2857	564
835	2861	561
836	2865	558
837	2868	554
838	2871	550
839	2874	547
840	2878	544
841	2881	540
842	2884	537
843	2888	533
844	2893	530
845	2896	527
846	2899	523
847	2902	520
848	2905	516
849	2908	513
850	2911	509
851	2915	506
852	2918	502
853	2921	499
854	2924	496
855	2927	492
856	2930	489
857	2933	485
858	2936	482
859	2941	478
860	2944	475
861	2947	471
862	2950	468
863	2956	465
864	2959	461
865	2962	458
866	2966	455
867	2970	451
868	2973	448
869	2976	444
870	2980	441
871	2983	437
872	2987	434
873	2990	431
874	2992	427
875	2995	424
876	2999	420
877	3003	417
878	3006	413
879	3008	410
880	3011	406
881	3014	403
882	3018	400
883	3021	396
884	3025	393
885	3028	389
886	3032	386
887	3035	382
888	3038	379
889	3041	375
890	3044	372
891	3047	368
892	3051	365
893	3054	362
894	3057	358
895	3061	355
896	3065	351
897	3068	348
898	3071	345
899	3074	341
900	3077	338
901	3081	334
902	3084	331
903	3089	328
904	3092	324
905	3094	321
906	3098	317
907	3101	314
908	3105	310
909	3107	307
910	3110	303
911	3113	300
912	3115	296
913	3117	293
914	3120	289
915	3122	286
916	3124	282
917	3128	279
918	3130	275
919	3133	272
920	3135	268
921	3138	265
922	3141	262
923	3144	258
924	3146	255
925	3148	251
926	3150	248
927	3153	244
928	3155	241
929	3159	237
930	3161	234
931	3164	230
932	3167	227
933	3169	223
934	3171	220
935	3174	217
936	3176	213
937	3178	210
938	3180	206
939	3182	203
940	3184	199
941	3187	196
942	3189	192
943	3191	189
944	3193	185
945	3195	182
946	3197	178
947	3199	175
948	3201	172
949	3204	168
950	3206	165
951	3208	161
952	3210	158
953	3212	154
954	3214	151
955	3216	148
956	3219	144
957	3221	141
958	3224	137
959	3226	134
960	3228	131
961	3230	127
962	3234	124
963	3236	120
964	3239	117
965	3241	114
966	3243	110
967	3245	107
968	3250	103
969	3253	100
970	3256	97
971	3259	93
972	3261	90
973	3264	87
974	3266	83
975	3268	80
976	3270	77
977	3272	73
978	3274	70
979	3277	66
980	3279	63
981	3281	60
982	3283	56
983	3285	53
984	3287	50
985	3289	46
986	3291	43
987	3293	39
988	3295	36
989	3298	33
990	3299	29
991	3302	26
992	3304	23
993	3306	19
994	3308	16
995	3311	13
996	3313	9
997	3315	6
998	3317	3
999	3320	0
